min,max,mean,count
0.6045481924162964,0.6045481924162964,0.6045481924162964,522
0.19499217527386542,0.5722874320068709,0.2435267418238645,692
0.22480196667577165,0.44643320363164724,0.2801559631708376,419
0.19390459363957596,0.6045481924162964,0.3254564463366197,1305
0.5580887940679395,0.6045481924162964,0.6041933340087553,2688
0.23137254901960785,0.6047745358090185,0.31266216514010425,3087
0.18574108818011256,0.6728543350076436,0.2324157044784221,4264
0.18521983161833488,0.7477994642173746,0.23385769768998776,4655
0.6006285181096217,0.6045481924162964,0.6045007971181462,4714
0.18103074924209614,0.7182866556836903,0.4044726395270178,5607
0.30311231393775373,0.6332963374028857,0.40786641682088837,1349
0.1933369743309667,0.6045481924162964,0.44823855978472593,1973
0.2426210153482881,0.5733595478004424,0.36010792681332576,593
0.2897406989853439,0.653774339823953,0.4943062300083357,490
0.6006285181096217,0.6045481924162964,0.6043225223396956,1459
0.6006285181096217,0.6045481924162964,0.6045318981582087,2165
0.6045481924162964,0.6045481924162964,0.6045481924162963,1375
0.5580887940679395,0.6045481924162964,0.604029629729137,2927
0.3800054481067829,0.6045481924162964,0.46391077897727506,436
0.3201512067461471,0.6045481924162964,0.48188910235179605,320
0.26358273828003725,0.6177972283005105,0.4362191255740832,2486
0.6045481924162964,0.6045481924162964,0.6045481924162965,5285
0.4818368745716244,0.6468378209142142,0.5780313453139531,749
0.3738392146457946,0.6380053355222656,0.4625741763208375,1255
0.1857707509881423,0.6045481924162964,0.4964172281931491,1813
0.21546203110704484,0.6045481924162964,0.5930229975523342,8234
0.23977615152819629,0.6510843373493976,0.36235345259693535,5548
0.2175451008135833,0.6403061224489796,0.2886681572352674,3476
0.6045481924162964,0.6045481924162964,0.6045481924162964,1173
0.6006285181096217,0.6045481924162964,0.6043863709999658,436
0.18997912317327767,0.6045481924162964,0.48362401347775424,5004
0.5580887940679395,0.6045481924162964,0.6042873677238144,1425
0.6045481924162964,0.6045481924162964,0.6045481924162964,624
0.22937853107344633,0.6045481924162964,0.4944985971404833,1184
0.3613053613053613,0.6315307057745188,0.5936882481079299,2480
0.5580887940679395,0.6045481924162964,0.6028536246953837,329
0.1464059196617336,0.6045481924162964,0.48214107404233597,6157
0.13118765292678336,0.6045481924162964,0.45726312379221834,6452
0.2464105549088087,0.5839929639401935,0.41896851377088373,1583
0.08756756756756756,0.6165356327669287,0.23656035942994938,5820
0.33054804620299827,0.7369786469766514,0.5111611042258591,587
0.22405841660261339,0.6507666098807495,0.4197507734222296,4845
0.2590289404448696,0.5846289234379584,0.38506950596461553,411
0.23111510791366907,0.5814198997096859,0.33529329498938165,397
0.2537640295647413,0.6267099466728495,0.41299433088016946,1005
0.24833209785025945,0.6669912366114897,0.49897585765785113,754
-0.0723429592140518,0.775,0.5580189134562321,10510117
0.24774266365688488,0.6548877998452411,0.5039626693935676,1371
