min,max,mean,count,median,majority,unique
0.21811835376248073,0.42146750524109017,0.3209165477678449,129,0.31902313624678663,0.27173347214992194,108
0.20075359270942866,0.42858272385847007,0.24900852207386293,149,0.2363181065471142,0.23988011988011987,124
0.17920529184329437,0.30583201562645335,0.2095233127792136,126,0.20558347186806689,0.1870851207947618,103
0.21537009360497128,0.3978187586753916,0.3139556452954605,125,0.3170897071909827,0.21537009360497128,103
0.2856574233780019,0.4014462138446539,0.3316634596063215,81,0.32607843990771773,0.299841449603624,68
0.27228467734796846,0.3640473037760833,0.30373935262698937,137,0.29850356707847575,0.28275199720609423,113
0.14615791400561365,0.3880333842717762,0.23405108474482247,378,0.22911812823898198,0.21207005697404516,305
0.17454063269558628,0.3241478035250962,0.25216867932432036,274,0.2496112221544724,0.21658950912499522,223
0.18172525665525976,0.3996841790789979,0.2857515187449995,141,0.28360385249990405,0.2729112347744873,118
0.12802205251028062,0.36268878961922996,0.26543798476200564,117,0.27079989864008785,0.2580331883629608,94
0.17294395533605325,0.32831981001385313,0.25953916199125576,301,0.2557718033918785,0.23871183325675618,239
0.20876454755676865,0.3891625615763547,0.2780114001527185,189,0.2771847507331378,0.21588211215718378,156
0.30484988452655887,0.4057747593850256,0.3390510885171742,154,0.3381560850935358,0.3085435658257367,131
0.24203420342034204,0.3867795450658457,0.3032637212104284,100,0.30562916226729064,0.24919671545876473,86
0.20906007751937986,0.31788445591080805,0.2517387306732741,90,0.24528301886792453,0.20906007751937986,74
0.18272376935941248,0.3885646583878187,0.23705318220901528,88,0.2112849786037328,0.32318840579710145,72
0.0349125309707936,0.3603599951352009,0.25653583865636037,939,0.2607555519134639,0.1259222518445037,753
0.12178550266640331,0.3370091896407686,0.2542276557485407,728,0.2529510518390242,0.23190943519159507,589
0.15729967069154774,0.37827563895179556,0.2672724623906455,189,0.270141394037401,0.2520163792033751,154
0.15674724084230482,0.4327334386681568,0.24448643673979556,413,0.22622277024249898,0.20555972952667168,333
0.11456354085168213,0.377582917224861,0.22990888186741582,760,0.22607511735160285,0.19415006358626535,615
0.19720880300590446,0.4084233342053141,0.25488451953602553,299,0.237419251933966,0.3084715374271627,248
0.1690451328460378,0.38699437692726285,0.2684492407525924,333,0.2645551745007061,0.32197139582398965,272
0.1285985019402581,0.3413689952489882,0.2218574694444379,213,0.215521672091828,0.2316073919107392,170
0.12963541434245168,0.32547103321900106,0.23854413710818936,208,0.250431924486958,0.23599253464638845,176
0.1044125313995924,0.3582617483577564,0.22947853415561648,88,0.22687667460067384,0.17918923354669292,77
0.11359132158130802,0.34929866575436197,0.19950792020113858,203,0.2093853790936038,0.17389598500370548,165
0.16350148367952522,0.36092277890287927,0.28745164751222246,184,0.287822440105806,0.2521638218654804,147
0.10099030874331409,0.3152144222889921,0.17373902621445228,139,0.1639208543753622,0.16890869345888684,120
0.15099684643754344,0.3593180015860428,0.29285065145922307,118,0.29341237252636954,0.3124408907230677,96
0.25170255843916806,0.3957021740955259,0.29824849728611924,262,0.2931168118997247,0.25170255843916806,216
0.1455019836305801,0.3868051863061884,0.2949238497777321,374,0.2930442919525889,0.2551741544674407,305
0.15327686134641105,0.3958361558957684,0.26470800445939063,364,0.2518743149672562,0.2231693295801451,302
0.14697528509050828,0.17999506862825676,0.16014919902148853,92,0.16034033869106945,0.15349061532896588,77
0.18056424026188989,0.33164417008338326,0.25027340577059287,128,0.24428441865756698,0.21849515928172578,109
0.21689254822147186,0.35535838410271087,0.272686648512109,118,0.26142584089233617,0.26092725883630224,97
0.16447827908925827,0.31336869056327726,0.2419133562781192,267,0.24372759856630824,0.18699560145343277,223
0.20972669819612438,0.36483437133315283,0.28443522018128164,254,0.2812256318517499,0.2709981334992445,207
0.1391722277929532,0.30955233151426415,0.17514150744743853,146,0.16184519155590305,0.1416158643402705,119
0.1516319712156258,0.38468663167644335,0.31930205098375514,67,0.34507960336585947,0.1992764546276756,57
0.1448195236007599,0.4507421941648183,0.37157007148805876,230,0.39181885011780715,0.32198529411764704,187
0.20300803753147745,0.3959312726213754,0.2766798869222568,127,0.27398599120377914,0.29029723713500066,105
0.18171939145134025,0.4565468401200831,0.348474920345491,620,0.3501823023554975,0.3588131757606236,503
0.2814613155352595,0.4051166931145257,0.3485358164558233,115,0.35268938782103054,0.2814613155352595,91
0.1896068685042928,0.4233219010289074,0.2698905081614513,596,0.2693286389878933,0.2443157544975554,490
0.14928859630494798,0.446068810830296,0.28617595103547366,121,0.3108340851308128,0.1666150099623644,102
0.0008303766890616743,0.369890882189754,0.2576871876493317,357,0.26247689463955637,0.0008303766890616743,290
0.2203332913570919,0.3646941252052252,0.2769621486875031,136,0.27913029132064604,0.2218480417031877,112
0.22748777795300426,0.4043459735832978,0.2771623167979976,471,0.26965253005681067,0.27636814856018144,380
0.061379455811010335,0.35733196686309676,0.22979070908044424,850,0.23806143775385466,0.18220420029838186,680
0.26510964521305047,0.3909886824685031,0.3184064820960931,236,0.3166079676476994,0.27524838012958963,191
0.1306234718826406,0.3336684971768892,0.260326725436405,106,0.27162076494067644,0.2593354671543972,89
0.13303647002539284,0.38702243784111584,0.18224038772477444,144,0.14685205220456737,0.1401740723774622,119
0.12731875518309982,0.39625425187492314,0.2807105869349535,158,0.2780783811337934,0.23169650771139869,127
0.15546136289533746,0.35754716981132073,0.27515504818437275,712,0.274645711042639,0.2576189432142074,573
0.15306960910905035,0.4387616691933296,0.2993991467186821,1119,0.29096751160299894,0.26523858503644737,898
0.12657453833924423,0.31485513314352703,0.2559832197418104,118,0.2692973065630868,0.12657453833924423,98
0.22764992028778155,0.298239405467575,0.26172070110851503,112,0.2621524030726142,0.26219892674404094,96
0.14836639821907943,0.36022240452100995,0.22769343612327206,167,0.21677439697304116,0.16081515909903468,141
0.2599466013043288,0.368434896975011,0.29344724066881184,84,0.28340952974957434,0.2804839793860632,69
0.20129524121818257,0.3527681882112262,0.2720533921223932,111,0.27597726582498155,0.2529014606592825,92
0.19794033015296078,0.3409101538749357,0.2411867719864467,129,0.23455986989225452,0.23526448362720404,105
0.15585932133534827,0.4377319508742396,0.34374154423815784,97,0.34911108594723134,0.3510515368615669,81
0.13003366163819974,0.36818316538233553,0.26159050936564154,80,0.2628115607705547,0.2106691376001059,69
0.21530044595650774,0.3843765732505454,0.30988926099176506,77,0.3094892561209681,0.33401457259641015,62
0.17224124308664734,0.2974314323030039,0.22919708259213933,128,0.223677678059958,0.223677678059958,105
0.031047475508666163,0.4719140818201088,0.26859638895565846,1738,0.26362726683888316,0.2996644584014454,1406
0.19914635516118162,0.3755979987583537,0.3055985656378862,404,0.3091160858178156,0.26060519859189984,333
0.14079054604726976,0.4106061198171089,0.2510104833443709,680,0.25495659508867724,0.17599785695151351,561
0.12878343633001038,0.33004457137911636,0.2571614732681277,103,0.269555282123396,0.16317016317016317,86
0.2693647585050105,0.41529352187293056,0.34676198572387557,119,0.3519039735099338,0.3380876265420714,98
0.16243370272950713,0.4054830692761727,0.25499269890991255,228,0.2589859888163119,0.2733557957379775,190
0.26007575021851026,0.34219241249214,0.2979713539492044,166,0.29782698604859925,0.28952541420949174,135
0.14647896295824442,0.3421143548108482,0.23077496329670447,97,0.22531499629416124,0.17140879196953962,85
0.16582576522031617,0.46826126954921804,0.2943378163934219,98,0.2920948539166909,0.18040089086859687,80
0.17311094263330806,0.3699080449557994,0.24697943451225424,111,0.2420921737778814,0.22087494056110318,91
0.20290319993584088,0.34766140358343617,0.2608426990619795,80,0.24823252160251374,0.2239364545940579,66
0.22653972471308903,0.3956214157143455,0.2849887172467086,152,0.28332121886713085,0.2322954596120978,127
0.18667177979462268,0.35681962359906955,0.23326004785030882,84,0.212805800506369,0.2046281851274051,70
0.2919871221606153,0.42178782667058184,0.3528863270176106,114,0.3546657731613336,0.3617443868739206,92
-0.04255859209747018,0.39611853760669996,0.35496905742097357,307,0.37347030655261326,0.38285256410256413,249
0.15451653064047585,0.39051437345389406,0.2670285146423413,652,0.26588360911613995,0.23809523809523808,534
0.237928007023705,0.3897481034410495,0.27301411814339605,139,0.2689661104421125,0.26929534007895095,114
0.1772713598074609,0.33900471635738527,0.2464808493776187,276,0.24656677202166027,0.24440488301119023,222
-0.04190014217613114,0.37480038326413284,0.2741470125895573,2909,0.2708579428621429,0.3421883858427148,2335
0.19040856456194014,0.3691407122749006,0.2956451344153471,115,0.29714332221046635,0.32772808586762076,95
0.23039587441225542,0.3977332040861979,0.31339749384195764,234,0.31534949956262437,0.2571694866647548,192
0.14844321949959088,0.3018114011720831,0.25787416225422777,84,0.2686177467106188,0.2498333259255967,74
0.06012010822939352,0.36061381074168797,0.20503826143758577,296,0.20878666280560956,0.20998812760905367,240
0.14298476794568277,0.311974833395422,0.20657976651572257,588,0.2065460714214976,0.22711981368066936,473
0.1668166430989416,0.3521019753503292,0.23022835426377158,65,0.22328876220815694,0.1668166430989416,54
0.11499295002349992,0.3286042144794492,0.17511328445154584,79,0.1453082349604736,0.1267519804996953,66
0.2023884710340472,0.3855525121622174,0.301752798387561,268,0.3016519760854701,0.33106546295084827,216
0.224006343542472,0.34446564885496184,0.28630541223638717,117,0.2865989395717813,0.33341318321555474,100
0.22586753775505372,0.33316766070245196,0.28313023448195435,138,0.28626780392085466,0.3102303019708954,114
0.30062091766793003,0.420483993142766,0.33071289077589977,96,0.3279199347039518,0.3180398959236774,77
0.21841894627807334,0.3291816588246148,0.25994873627409065,64,0.2538968493934124,0.22949847509318874,54
0.11463695270393023,0.43587535233322894,0.3047477447260639,510,0.3007534802620865,0.24365538325536854,413
0.261715380929564,0.43138376082339486,0.34516521580606335,127,0.33530663213393763,0.3042508365348866,105
0.16380860488575064,0.3150937596065171,0.20519886242204763,104,0.1842865850331658,0.17576874150107472,87
0.12386148633783606,0.39793367772037996,0.229840347641022,95,0.2081492833318309,0.13558194774346793,81
0.07865838086319911,0.41417894327558646,0.2941545863312481,434,0.30015907329608027,0.1347247002199079,357
0.04123318954580056,0.5460997747901454,0.24993658920429174,2469,0.24433770858349552,0.24770112572677416,1987
0.12189156135344476,0.34254466897700164,0.2667567853539781,348,0.27205411291690174,0.3060627548307038,284
0.14658283019541996,0.4108009054651288,0.26609290023539944,895,0.26506937599514746,0.22133836003770027,728
0.1332886805090422,0.36223250698804016,0.24310413392237326,284,0.23838934787839897,0.2101920128495291,231
0.17251372118551042,0.3127964267624442,0.201803233880211,111,0.19053070195521773,0.19000042156738756,91
0.2040886869784208,0.3013847289143552,0.2585927788260218,89,0.2607843921160996,0.23458304134548003,77
0.14614729514570296,0.3734581795264248,0.20973850288889537,667,0.19609634551495017,0.18041425748371515,537
0.13878925004138845,0.40020996150705707,0.25311986555216226,76,0.2589844110473132,0.13878925004138845,62
0.23085070166811666,0.42139041861620635,0.3132831535848757,146,0.30798761455851187,0.3194071749989679,122
0.0321945307173699,0.388,0.22117711951113503,1041,0.21482432215626504,0.18021340028244154,837
0.1861503197008083,0.3397786184671431,0.22622668295676224,168,0.21608038387507583,0.20395644839748506,140
0.261307335783922,0.39110575924926294,0.3187501712833364,87,0.3145504633107939,0.2730345216061801,73
0.23931516597597222,0.4030336301899069,0.3059827587078009,281,0.30608397600685516,0.28136387298282145,228
