min,max,mean,count,median,majority,unique
0.1398629228388238,0.3721942765354863,0.2504780962211813,127,0.2445019404915912,0.16377378389067102,107
0.14709502708025604,0.2858067498844198,0.221360448535178,285,0.21954459203036053,0.2053816849110286,230
0.10242140206990823,0.221638008621098,0.15390531269933838,263,0.14471544715447154,0.1367639826530156,214
0.12101381531110418,0.3365129835718071,0.23245853980603115,141,0.22419035667744583,0.3301920660563633,114
0.10067702498660562,0.2357941373448045,0.12478242040490772,121,0.11235703072437767,0.10067702498660562,103
0.08419559850832502,0.2670014647415777,0.11629800410842897,380,0.10502556558176826,0.10250460110426503,316
0.09501486970109381,0.20008807177849947,0.11391992361965349,86,0.11104885527073508,0.10502701217837195,71
0.12172802723983826,0.34270107993161825,0.24686369088246315,139,0.2565863837927137,0.2818177719669988,112
0.04838709677419355,0.4336636828644501,0.30863487599534867,610,0.3562117128965272,0.2561255067865327,495
0.09743221772333556,0.23266767143933684,0.138414842635345,547,0.1348635602403704,0.1348635602403704,442
0.07354932805500573,0.23943504091469567,0.10119058284281796,683,0.09919871794871794,0.09399893786510886,548
0.1795521329415341,0.3081270707464432,0.26450226672876515,589,0.2653771760154739,0.2534715653259677,474
0.15779683786297405,0.2857657982511494,0.2109944413673554,76,0.20660275942259776,0.2063845223700121,62
0.12069896431551563,0.17053370632439252,0.13386839380807664,75,0.13352343789083995,0.12237903225806451,61
0.06933599483355839,0.23615771812080538,0.10657031807713287,319,0.10152141624182089,0.07823822463768115,262
0.16205448476364812,0.458681185722928,0.32298114415863144,617,0.348575712143928,0.2313195548489666,499
0.10520192787103208,0.25182378019895785,0.16644494484351705,793,0.16609302782967844,0.12155546230241993,641
0.08176691729323309,0.25614889193163953,0.14511353026359292,320,0.1386356508490164,0.1093141075604053,258
0.0626770538243626,0.2825157515751575,0.115904220158251,490,0.108379633153208,0.11129413449831697,392
0.09654123907259597,0.32848721244625684,0.1627777115179481,777,0.15563049719728386,0.150158909834995,620
0.1431666195723839,0.29156327543424315,0.21352598059244493,97,0.21051413762784024,0.2136019691858875,80
0.09494205997911175,0.26846034047580686,0.11819224074531057,174,0.11099389278302538,0.1107397308470402,142
0.08147452453627613,0.2412647216928114,0.10816502753927955,164,0.09782778922679376,0.08768323686915129,131
